id,center_name,address,area,area_id,crm_center_id,crm_area_id,city_id,state_id,country_id,pincode,latitude,longitude,phone_number,status,created_by,updated_by,created_at,updated_at
78,Madurai,"Plot No. 1, Milk Project Junction, Sivagangai Roadk.K. Nagar, Maduraimadurai , Tamil Nadu",Madurai,NULL,INTNMDR01,NULL,3912,35,82,625020,9.926429,78.1398753,0452 - 4393381 / 82 / 83,1,1,0,7/26/2017 10:19,NULL
79,Mulund West,"101, 1St Floor,Vikas Paradise Commercial Complex Near Santoshi Mata Mandir,Lbs Roadmumbai, Maharashtra",Mulund West,NULL,INMHMUM07,NULL,2707,22,82,400080,18.9553628,73.1329421,"022 - 25620774 / 5 / 6, 9320943167",1,1,0,7/26/2017 10:19,NULL
80,Kandivali West,"B-101/102,Sangeeta Apartments,Ram Gali Sv Road,Kandivali (West)Mumbai, Maharashtra",Kandivali West,NULL,INMHMUM05,NULL,2707,22,82,400067,19.1998154,72.84584,"022 - 28082002, 28082116, 28056180, 28056217",1,1,0,7/26/2017 10:19,NULL
81,Malad West,"Golden Line Business Centre, Link Way Estate Next To Chincholi Fire Brigade, Link Road, Malad (West)Mumbai, Maharashtra",Malad West,NULL,INMHMUM08,NULL,2707,22,82,400064,19.176402,72.8366725,022 - 40353636 / 37 / 38 / 39,1,1,0,7/26/2017 10:19,NULL
82,Vashi,"Plot No. 41, Sector 19 E, Next To Palm Beach, Near Galleria Mall, Vashinavi Mumbai, Maharashtra",Vashi,NULL,INMHMUM17,NULL,2707,22,82,400705,19.0866841,73.0061171,"022 - 27842353 / 4 / 5, 9820971005",1,1,0,7/26/2017 10:19,NULL
83,Andheri East,"Hi Tech Plaza, Ground Floor,Opposite Shanti Nagar Bus Stop Mahakali Caves Road,Andheri (East)Mumbai, Maharashtra",Andheri East,NULL,INMHMUM12,NULL,2707,22,82,400093,19.1203278,72.8613133,022 - 26870081 / 2 / 3 / 4,1,1,0,7/26/2017 10:19,NULL
84,Andheri West,"Transavenue, 2Nd Floor, Near Mahanagar Telephone Exchange, Mhada Andheri West,Mumbai, Maharashtra",Andheri West,NULL,INMHMUM16,NULL,2707,22,82,400053,19.1354025,72.8222857,"022 - 26319056, 26319058, 26319079, 26310050",1,1,0,7/26/2017 10:19,NULL
85,Panvel,"Shop No 1, 2 & 3,Neel Kanth Darshan Building Next To Sk Bajaj Showroom,Panvelmumbai, Maharashtra",Panvel,NULL,INMHMUM18,NULL,2707,22,82,410206,18.9872509,73.109263,02227451081/82/83,1,1,0,7/26/2017 10:19,NULL
86,Chembur,"398B,Madhuram Bunglow,8Th Road,Near Ahobila Muttchembur (East)Mumbai, Maharashtra",Chembur,NULL,INMHCHM01,NULL,2707,22,82,400071,19.0530194,72.8975607,022-25226382/87/96,1,1,0,7/26/2017 10:19,NULL
87,Bandra West,"893, 4Th Floor,Nootan Chambers,Above Yes Bankturner Road,Bandra (West)Mumbai, Maharashtra",Bandra West,NULL,INMHMUM01,NULL,2707,22,82,400050,19.058092,72.8318333,022-26415666/62/61/63,1,1,0,7/26/2017 10:19,NULL
